Model,updrs_1,updrs_2,updrs_3
Global_Mean,4.314873407995642,5.283997826701388,11.706579916879175
Mean_by_Visit_Month_Baseline_Model,4.299623752594797,5.217730603514677,11.565446793842925
Random_Forest,4.3856087774442525,5.302835079160332,11.639833460628566
