model,Model,updrs_1,updrs_2,updrs_3
0,XG boosting w_Lags,2.7532852043541984,2.747222331300945,5.925934662585053
1,Random Forest w_Lags,2.8009452691802896,2.7691652296181126,6.009461316345968
2,LGBM w_Lags,2.6517389456269402,2.5745053862969596,5.737602454569618
5,Random_Forest,4.3856087774442525,5.302835079160332,11.639833460628566
